GB	GBold
GB48132	GB11939
GB48133	GB17148
GB48134	GB13882
GB48135	GB15561
GB48136	GB16861
GB48137	NULL
GB48138	NULL
GB48139	NULL
GB48140	GB15316
GB48142	NULL
GB48143	GB18799
GB48144	GB14529
GB48145	GB14529
GB48146	NULL
GB48147	NULL
GB48148	GB16582
GB48149	NULL
GB48150	GB14874
GB48151	GB16712
GB48152	GB10056
GB48153	NULL
GB48154	NULL
GB48155	GB12509
GB48156	GB17290
GB48157	GB13987
GB48158	GB16720
GB48159	GB10625
GB48160	GB10625
GB48161	GB19919
GB48162	GB16333
GB48163	GB10859
GB48164	NULL
GB48165	GB11842
GB48166	NULL
GB48167	NULL
GB48169	GB12676
GB48170	GB19178
GB48171	GB16042
GB48172	GB19686
GB48173	GB14811
GB48174	GB13457
GB48175	GB15634
GB48176	GB12832
GB48177	GB11567
GB48178	GB15259
GB48179	NULL
GB48180	NULL
GB48181	NULL
GB48182	NULL
GB48183	GB16343
GB48187	GB14664
GB48188	GB14664
GB48189	GB15490
GB48190	GB12101
GB48191	GB13783
GB48192	NULL
GB48193	GB17206
GB48194	GB12710
GB48195	GB11969
GB48196	NULL
GB48197	NULL
GB48199	NULL
GB48200	NULL
GB48201	GB14276
GB48202	NULL
GB48203	GB13917
GB48204	GB18789
GB48205	NULL
GB48206	GB12724
GB48207	GB15304
GB48208	GB12654
GB48209	GB19248
GB48210	GB11083
GB48211	NULL
GB48212	NULL
GB48213	GB17370
GB48215	GB19276
GB48216	GB13484
GB48217	NULL
GB48219	NULL
GB48220	GB15495
GB48222	GB20138
GB48223	GB19731
GB48224	NULL
GB48225	GB10599
GB48226	NULL
GB48227	NULL
GB48228	GB13351
GB48229	NULL
GB48230	NULL
GB48231	GB13634
GB48232	GB17674
GB48233	NULL
GB48234	GB11617
GB48235	GB11993
GB48236	NULL
GB48237	GB11947
GB48238	GB11947
GB48239	GB11947
GB48240	GB12019
GB48241	GB12019
GB48242	NULL
GB48243	GB16688
GB48244	GB16688
GB48245	NULL
GB48246	NULL
GB48247	GB19397
GB48248	GB13890
GB48249	GB14034
GB48250	GB14034
GB48251	NULL
GB48252	GB12274
GB48253	NULL
GB48254	GB10736
GB48255	GB12122
GB48256	NULL
GB48257	NULL
GB48258	NULL
GB48259	GB13436
GB48260	NULL
GB48261	GB18826
GB48262	NULL
GB48263	GB14622
GB48264	GB14538
GB48265	GB14288
GB48266	GB16044
GB48267	GB15188
GB48268	GB20047
GB48269	NULL
GB48270	NULL
GB48271	GB14070
GB48272	GB14070
GB48273	NULL
GB48274	GB12871
GB48275	GB12871
GB48277	GB16785
GB48278	GB15089
GB48280	NULL
GB48282	GB16556
GB48283	GB18933
GB48288	NULL
GB48289	NULL
GB48291	NULL
GB48292	NULL
GB48293	GB16879
GB48294	NULL
GB48295	NULL
GB48296	NULL
GB48297	NULL
GB48298	NULL
GB48299	GB14497
GB48300	GB14497
GB48301	GB13873
GB48303	GB12648
GB48304	NULL
GB48305	GB17142
GB48306	GB17142
GB48307	GB18888
GB48308	GB16443
GB48309	GB13101
GB48310	GB10202
GB48311	GB13393
GB48312	GB18144
GB48313	GB11614
GB48314	GB19388
GB48315	NULL
GB48316	NULL
GB48319	NULL
GB48320	NULL
GB48321	GB19799
GB48322	GB17154
GB48323	GB13317
GB48324	NULL
GB48325	GB12790
GB48326	GB14745
GB48328	NULL
GB48330	GB10478
GB48331	GB13193
GB48332	GB16352
GB48333	GB18704
GB48334	NULL
GB48336	NULL
GB48337	GB15949
GB48338	GB19000
GB48339	GB17937
GB48340	GB14294
GB48341	GB14294
GB48342	NULL
GB48343	GB15549
GB48344	GB11487
GB48345	NULL
GB48346	GB19786
GB48347	GB13310
GB48348	NULL
GB48349	GB18661
GB48350	GB11191
GB48351	GB13045
GB48352	GB11964
GB48353	NULL
GB48354	NULL
GB48355	GB16174
GB48356	GB16067
GB48358	NULL
GB48359	GB13511
GB48360	GB12835
GB48361	MI00015
GB48362	GB14368
GB48363	GB18889
GB48364	GB11263
GB48366	NULL
GB48367	GB17889
GB48369	GB14665
GB48370	GB11034
GB48371	NULL
GB48372	GB14582
GB48373	NULL
GB48374	GB14736
GB48375	GB19627
GB48376	GB12917
GB48377	GB12917
GB48378	GB12917
GB48379	NULL
GB48380	GB13898
GB48381	NULL
GB48382	GB13152
GB48383	NULL
GB48384	GB13760
GB48385	GB17701
GB48386	GB12774
GB48388	NULL
GB48389	NULL
GB48390	NULL
GB48391	GB19022
GB48392	NULL
GB48393	NULL
GB48394	NULL
GB48395	NULL
GB48396	GB17781
GB48397	NULL
GB48398	NULL
GB48399	GB10640
GB48400	GB16975
GB48401	NULL
GB48402	GB15724
GB48403	GB15130
GB48404	GB16413
GB48405	GB13631
GB48406	GB19627
GB48407	NULL
GB48408	GB12946
GB48409	GB19564
GB48410	GB19564
GB48411	GB16522
GB48412	GB14963
GB48413	GB13311
GB48414	GB11741
GB48415	GB11741
GB48416	NULL
GB48417	GB12134
GB48419	GB10157
GB48421	NULL
GB48422	GB12867
GB48423	GB15877
GB48424	NULL
GB48425	GB14063
GB48426	GB16299
GB48427	NULL
GB48428	GB10008
GB48429	NULL
GB48430	GB13805
GB48431	GB10250
GB48432	NULL
GB48433	GB13090
GB48434	GB16427
GB48435	GB13332
GB48436	GB10511
GB48437	NULL
GB48438	NULL
GB48439	NULL
GB48440	NULL
GB48441	NULL
GB48442	NULL
GB48443	NULL
GB48444	GB19282
GB48445	NULL
GB48446	GB18850
GB48447	NULL
GB48448	GB12674
GB48449	GB15045
GB48450	GB15045
GB48451	GB15708
GB48452	GB17563
GB48453	GB14390
GB48454	GB12649
GB48456	GB17559
GB48457	GB10843
GB48458	NULL
GB48459	NULL
GB48460	GB10478
GB48462	GB18033
GB48463	GB19974
GB48464	NULL
GB48465	GB15455
GB48466	GB19408
GB48467	GB10853
GB48468	NULL
GB48469	GB11323
GB48470	GB15702
GB48471	NULL
GB48472	NULL
GB48474	GB11870
GB48475	GB11746
GB48476	NULL
GB48477	NULL
GB48478	NULL
GB48479	NULL
GB48480	NULL
GB48481	GB10437
GB48482	GB16791
GB48483	GB13948
GB48484	GB16493
GB48485	GB11323
GB48486	NULL
GB48487	GB18395
GB48488	GB15296
GB48489	GB10286
GB48492	GB19811
GB48494	NULL
GB48496	NULL
GB48497	GB17214
GB48501	NULL
GB48502	NULL
GB48504	NULL
GB48505	GB11665
GB48509	GB16040
GB48510	GB11552
GB48511	GB17646
GB48512	GB15964
GB48514	NULL
GB48515	NULL
GB48516	NULL
GB48517	NULL
GB48518	NULL
GB48519	NULL
GB48520	NULL
GB48521	GB16966
GB48523	GB10488
GB48524	GB10488
GB48526	GB19891
GB48527	GB19422
GB48529	GB11706
GB48530	GB11706
GB48531	GB17870
GB48532	NULL
GB48533	GB20034
GB48534	GB10931
GB48535	GB18310
GB48536	GB10699
GB48537	GB16953
GB48538	GB16953
GB48539	GB14586
GB48540	NULL
GB48541	NULL
GB48542	NULL
GB48543	NULL
GB48544	GB16048
GB48545	NULL
GB48546	NULL
GB48548	NULL
GB48549	NULL
GB48550	NULL
GB48551	GB11091
GB48552	GB10060
GB48553	NULL
GB48554	NULL
GB48555	NULL
GB48556	GB12611
GB48557	GB17252
GB48560	GB19999
GB48561	NULL
GB48563	GB18906
GB48564	GB15119
GB48565	NULL
GB48566	GB18419
GB48567	NULL
GB48568	NULL
GB48569	NULL
GB48570	NULL
GB48571	GB18620
GB48573	GB16790
GB48574	GB15855
GB48575	GB11470
GB48576	NULL
GB48577	NULL
GB48578	GB12491
GB48579	GB18481
GB48580	GB16872
GB48581	NULL
GB48582	NULL
GB48583	NULL
GB48584	NULL
GB48585	NULL
GB48586	GB14600
GB48587	GB14600
GB48588	GB14600
GB48589	GB14600
GB48590	NULL
GB48591	NULL
GB48592	NULL
GB48593	NULL
GB48594	NULL
GB48596	NULL
GB48597	GB11355
GB48598	NULL
GB48599	NULL
GB48600	GB13220
GB48601	GB11687
GB48602	GB19992
GB48603	GB17662
GB48604	GB13910
GB48605	GB13910
GB48606	GB19891
GB48608	GB11858
GB48609	NULL
GB48610	GB14302
GB48611	NULL
GB48612	NULL
GB48613	NULL
GB48614	NULL
GB48617	GB18822
GB48618	NULL
GB48619	NULL
GB48620	NULL
GB48621	GB15474
GB48622	NULL
GB48623	GB14596
GB48624	NULL
GB48625	GB13563
GB48626	NULL
GB48627	NULL
GB48628	GB12107
GB48629	NULL
GB48630	GB18846
GB48631	GB10721
GB48632	GB12996
GB48633	GB12996
GB48634	GB18955
GB48635	GB12618
GB48636	GB12618
GB48637	NULL
GB48638	GB14875
GB48639	GB15155
GB48640	NULL
GB48641	GB19014
GB48642	NULL
GB48643	NULL
GB48644	GB19515
GB48645	GB11583
GB48646	GB18495
GB48648	NULL
GB48649	NULL
GB48650	NULL
GB48651	GB12382
GB48652	NULL
GB48653	GB18348
GB48654	NULL
GB48655	GB18348
GB48656	GB19302
GB48657	NULL
GB48658	GB11058
GB48659	GB13635
GB48660	GB14601
GB48661	GB17887
GB48662	NULL
GB48663	NULL
GB48664	GB15927
GB48665	GB17418
GB48666	GB12666
GB48667	GB12666
GB48668	NULL
GB48669	GB11220
GB48670	GB11500
GB48671	GB13186
GB48672	GB17672
GB48673	NULL
GB48674	GB10538
GB48675	GB18671
GB48676	GB12888
GB48677	GB11823
GB48678	GB13196
GB48679	GB14596
GB48680	NULL
GB48681	NULL
GB48682	GB17262
GB48683	GB15279
GB48684	GB15843
GB48685	GB15812
GB48686	NULL
GB48687	NULL
GB48688	NULL
GB48689	NULL
GB48690	GB14243
GB48691	NULL
GB48692	GB18907
GB48693	GB17415
GB48694	GB18707
GB48695	NULL
GB48696	NULL
GB48697	NULL
GB48698	GB20150
GB48699	NULL
GB48700	NULL
GB48701	NULL
GB48702	NULL
GB48703	NULL
GB48704	NULL
GB48705	GB10008
GB48706	GB18611
GB48707	GB15273
GB48708	GB14371
GB48709	GB10954
GB48710	NULL
GB48711	NULL
GB48712	NULL
GB48717	NULL
GB48719	GB11633
GB48720	NULL
GB48721	GB11633
GB48722	NULL
GB48723	NULL
GB48724	NULL
GB48725	NULL
GB48726	NULL
GB48727	GB13710
GB48733	NULL
GB48734	NULL
GB48735	NULL
GB48736	NULL
GB48738	NULL
GB48741	NULL
GB48742	NULL
GB48743	NULL
GB48745	GB15442
GB48746	GB15536
GB48747	GB12577
GB48748	GB12577
GB48749	NULL
GB48750	NULL
GB48751	NULL
GB48752	NULL
GB48753	NULL
GB48754	GB12229
GB48755	GB15800
GB48758	NULL
GB48759	NULL
GB48760	GB17237
GB48761	NULL
GB48763	NULL
GB48764	NULL
GB48765	GB17070
GB48768	GB17070
GB48769	GB15309
GB48770	GB15109
GB48771	GB15109
GB48772	GB12983
GB48775	NULL
GB48776	GB10097
GB48777	GB15693
GB48778	GB15693
GB48780	NULL
GB48781	NULL
GB48782	GB20024
GB48783	GB19139
GB48784	GB19293
GB48785	NULL
GB48786	GB10445
GB48787	GB10445
GB48788	GB10445
GB48789	GB12298
GB48790	GB18800
GB48791	GB19729
GB48792	NULL
GB48793	NULL
GB48794	GB19464
GB48795	GB10702
GB48796	NULL
GB48797	NULL
GB48798	GB17040
GB48799	GB19829
GB48801	NULL
GB48802	NULL
GB48803	NULL
GB48804	NULL
GB48805	NULL
GB48806	GB11857
GB48807	NULL
GB48808	NULL
GB48809	NULL
GB48810	GB17629
GB48811	GB19873
GB48812	GB14000
GB48813	GB14638
GB48814	NULL
GB48815	GB10200
GB48816	GB10200
GB48817	GB11261
GB48818	GB11261
GB48819	NULL
GB48820	NULL
GB48821	NULL
GB48823	GB12600
GB48824	GB12038
GB48825	GB17221
GB48826	NULL
GB48827	GB19921
GB48828	GB19921
GB48829	GB19343
GB48830	GB19343
GB48831	GB15203
GB48832	GB17384
GB48833	NULL
GB48834	NULL
GB48835	NULL
GB48836	NULL
GB48837	GB20144
GB48838	NULL
GB48839	NULL
GB48840	GB12758
GB48841	GB15046
GB48842	NULL
GB48843	NULL
GB48844	NULL
GB48845	GB10254
GB48846	GB13312
GB48847	GB12419
GB48848	NULL
GB48849	GB15922
GB48850	GB15746
GB48851	NULL
GB48852	NULL
GB48853	GB17432
GB48854	GB17432
GB48855	NULL
GB48856	GB18139
GB48857	GB18139
GB48858	NULL
GB48859	GB20125
GB48860	NULL
GB48861	GB11550
GB48862	GB10347
GB48863	NULL
GB48864	NULL
GB48866	GB10806
GB48867	NULL
GB48868	GB14968
GB48870	GB13450
GB48871	GB10215
GB48872	GB14143
GB48873	GB14143
GB48874	GB15826
GB48875	NULL
GB48876	NULL
GB48877	NULL
GB48878	NULL
GB48879	NULL
GB48880	NULL
GB48881	GB13160
GB48882	NULL
GB48883	GB18380
GB48884	GB18380
GB48885	NULL
GB48886	GB15738
GB48887	GB11328
GB48888	NULL
GB48889	NULL
GB48890	GB18359
GB48892	GB15715
GB48893	NULL
GB48894	GB15715
GB48897	GB18623
GB48898	GB15337
GB48899	GB12859
GB48900	NULL
GB48901	GB18103
GB48903	GB18327
GB48904	NULL
GB48905	GB16959
GB48907	NULL
GB48908	GB13376
GB48909	NULL
GB48910	NULL
GB48911	GB13234
GB48912	NULL
GB48913	NULL
GB48914	NULL
GB48915	NULL
GB48916	GB18556
GB48917	NULL
GB48918	NULL
GB48919	GB10712
GB48920	NULL
GB48921	NULL
GB48922	NULL
GB48923	GB15170
GB48924	GB16520
GB48925	GB13548
GB48926	GB13168
GB48927	NULL
GB48928	GB15245
GB48929	NULL
GB48930	GB19182
GB48931	NULL
GB48932	GB14060
GB48933	GB19969
GB48934	NULL
GB48935	NULL
GB48936	GB14871
GB48937	GB12135
GB48938	GB12091
GB48940	GB15905
GB48941	GB18488
GB48942	GB18488
GB48943	GB18960
GB48944	GB19504
GB48945	GB19504
GB48946	GB13094
GB48947	NULL
GB48948	NULL
GB48949	NULL
GB48950	NULL
GB48951	GB17514
GB48953	GB13799
GB48954	GB16520
GB48955	GB13767
GB48956	GB14417
GB48957	NULL
GB48958	GB10444
GB48959	NULL
GB48960	GB19962
GB48961	GB13621
GB48962	NULL
GB48963	GB16629
GB48965	NULL
GB48966	GB10821
GB48967	GB16461
GB48968	NULL
GB48969	GB11658
GB48970	NULL
GB48971	NULL
GB48972	GB12554
GB48973	GB15378
GB48974	GB18753
GB48975	NULL
GB48976	NULL
GB48977	NULL
GB48978	NULL
GB48979	NULL
GB48980	GB11703
GB48981	GB11715
GB48982	GB10271
GB48983	GB17306
GB48984	NULL
GB48985	NULL
GB48986	GB16639
GB48987	GB14278
GB48988	GB18547
GB48989	NULL
GB48990	NULL
GB48991	GB16738
GB48992	NULL
GB48993	GB10466
GB48994	GB17429
GB48996	NULL
GB48997	GB16496
GB48998	GB16496
GB48999	GB14420
GB49000	GB13802
GB49001	NULL
GB49002	NULL
GB49003	NULL
GB49004	NULL
GB49010	GB11508
GB49012	GB15200
GB49013	GB17273
GB49014	NULL
GB49015	NULL
GB49016	GB14775
GB49017	GB14775
GB49018	NULL
GB49019	NULL
GB49020	GB16456
GB49021	GB12404
GB49022	GB16659
GB49024	GB12637
GB49025	GB19213
GB49026	GB13539
GB49027	NULL
GB49028	GB16284
GB49029	NULL
GB49030	NULL
GB49031	GB12140
GB49032	GB19304
GB49033	GB17721
GB49034	NULL
GB49035	NULL
GB49036	NULL
GB49037	GB10123
GB49038	GB11697
GB49039	GB11697
GB49040	GB12012
GB49041	GB18717
GB49042	GB10262
GB49043	NULL
GB49044	NULL
GB49045	NULL
GB49046	GB15260
GB49047	GB14678
GB49048	GB17809
GB49049	NULL
GB49050	GB10884
GB49051	NULL
GB49053	NULL
GB49054	GB15794
GB49055	NULL
GB49056	NULL
GB49057	NULL
GB49058	NULL
GB49060	NULL
GB49062	NULL
GB49063	NULL
GB49064	NULL
GB49065	NULL
GB49066	NULL
GB49067	NULL
GB49068	NULL
GB49069	GB14502
GB49071	GB16365
GB49072	NULL
GB49073	GB19913
GB49074	GB12617
GB49075	NULL
GB49076	GB16310
GB49078	GB11812
GB49079	GB17548
GB49080	GB16453
GB49081	GB18141
GB49082	GB18234
GB49083	GB12504
GB49084	NULL
GB49085	GB12020
GB49086	GB17524
GB49087	GB18130
GB49089	GB19912
GB49090	GB14630
GB49091	NULL
GB49093	GB16700
GB49094	NULL
GB49095	GB19681
GB49096	GB12740
GB49097	NULL
GB49098	GB11291
GB49099	GB18021
GB49100	GB17741
GB49101	GB13451
GB49102	GB10933
GB49103	NULL
GB49104	GB10759
GB49105	GB10759
GB49106	GB18557
GB49107	GB17908
GB49108	GB16417
GB49109	GB13723
GB49110	GB13723
GB49111	GB10208
GB49112	GB15977
GB49113	GB15977
GB49114	GB11805
GB49115	GB18234
GB49116	GB17093
GB49117	GB15016
GB49118	GB16453
GB49119	GB11484
GB49120	GB16508
GB49121	NULL
GB49122	NULL
GB49123	NULL
GB49124	GB18011
GB49125	NULL
GB49126	GB10098
GB49127	NULL
GB49128	NULL
GB49129	NULL
GB49130	GB16223
GB49131	GB14954
GB49132	GB10112
GB49134	NULL
GB49135	NULL
GB49137	NULL
GB49138	NULL
GB49139	GB16402
GB49140	NULL
GB49144	NULL
GB49145	NULL
GB49146	GB12540
GB49147	GB18646
GB49149	GB10567
GB49150	GB18294
GB49151	NULL
GB49152	GB12914
GB49153	NULL
GB49154	GB18455
GB49155	GB12887
GB49156	GB11804
GB49157	GB12673
GB49158	GB17710
GB49159	GB19311
GB49160	NULL
GB49161	GB11277
GB49162	NULL
GB49163	GB12079
GB49164	GB12079
GB49165	GB18994
GB49166	GB10976
GB49167	GB19379
GB49168	GB11370
GB49169	GB11370
GB49170	GB19442
GB49171	GB14317
GB49172	GB19155
GB49173	GB13367
GB49174	GB16156
GB49175	GB18360
GB49177	NULL
GB49178	GB11069
GB49179	NULL
GB49180	GB19688
GB49182	NULL
GB49183	GB11008
GB49184	GB11008
GB49185	GB13115
GB49186	GB13115
GB49187	GB14726
GB49188	GB17275
GB49189	GB16665
GB49190	GB16657
GB49191	NULL
GB49192	GB19223
GB49193	GB15224
GB49194	NULL
GB49195	NULL
GB49202	NULL
GB49204	NULL
GB49206	NULL
GB49207	GB15595
GB49208	NULL
GB49218	NULL
GB49219	GB19083
GB49220	GB11397
GB49221	GB11982
GB49222	GB13896
GB49223	GB11509
GB49224	NULL
GB49225	NULL
GB49226	GB12619
GB49227	NULL
GB49229	NULL
GB49230	GB15835
GB49231	NULL
GB49232	NULL
GB49233	NULL
GB49234	NULL
GB49235	GB11748
GB49236	NULL
GB49237	NULL
GB49238	NULL
GB49239	GB13604
GB49240	GB12741
GB49241	GB16702
GB49242	GB16702
GB49243	NULL
GB49244	GB12727
GB49245	GB19867
GB49246	GB12623
GB49247	NULL
GB49248	GB12290
GB49249	GB18054
GB49250	GB11774
GB49255	NULL
GB49257	NULL
GB49258	GB10711
GB49259	GB10711
GB49260	GB11717
GB49261	NULL
GB49262	NULL
GB49263	GB11905
GB49264	GB20019
GB49265	GB11726
GB49266	NULL
GB49267	NULL
GB49268	GB10459
GB49269	GB13207
GB49270	GB13207
GB49271	GB10566
GB49272	NULL
GB49273	GB18157
GB49274	GB18157
GB49275	GB18157
GB49276	GB16226
GB49277	NULL
GB49278	NULL
GB49279	NULL
GB49280	GB16011
GB49281	NULL
GB49282	GB11645
GB49283	GB11645
GB49284	GB18634
GB49285	GB14989
GB49286	NULL
GB49287	GB11905
GB49289	GB14208
GB49290	GB14208
GB49294	NULL
GB49295	GB15642
GB49296	GB15034
GB49297	NULL
GB49298	GB16257
GB49299	GB18659
GB49300	GB19569
GB49301	GB19569
GB49302	NULL
GB49303	NULL
GB49304	GB18755
GB49305	GB14796
GB49306	GB15291
GB49307	GB19758
GB49308	GB19758
GB49309	GB16772
GB49311	NULL
GB49312	GB14698
GB49313	GB12113
GB49314	GB10684
GB49315	GB10684
GB49316	NULL
GB49317	NULL
GB49318	GB14260
GB49320	GB17876
GB49321	GB18719
GB49322	GB14861
GB49323	NULL
GB49324	GB15324
GB49325	GB14577
GB49326	GB10823
GB49327	GB14540
GB49328	GB13695
GB49329	GB18288
GB49330	GB11244
GB49331	GB18676
GB49332	GB15683
GB49333	NULL
GB49335	GB17684
GB49336	NULL
GB49337	GB16614
GB49338	NULL
GB49339	GB16239
GB49340	GB18596
GB49341	NULL
GB49342	GB12631
GB49343	NULL
GB49344	GB16397
GB49345	NULL
GB49346	NULL
GB49347	GB17125
GB49348	GB16673
GB49349	GB13024
GB49350	GB15892
GB49351	NULL
GB49352	GB18603
GB49353	GB16792
GB49354	NULL
GB49355	NULL
GB49356	GB15881
GB49357	GB12626
GB49358	GB19905
GB49359	GB19905
GB49360	NULL
GB49361	NULL
GB49362	NULL
GB49363	GB13813
GB49364	GB17195
GB49365	GB16895
GB49366	GB12685
GB49367	NULL
GB49368	GB12587
GB49369	NULL
GB49370	GB18536
GB49371	NULL
GB49372	GB14331
GB49373	GB18281
GB49375	GB13662
GB49376	GB19733
GB49377	GB16500
GB49378	NULL
GB49379	NULL
GB49380	GB17931
GB49381	GB11400
GB49382	GB11400
GB49383	NULL
GB49384	GB13036
GB49385	NULL
GB49386	NULL
GB49387	GB13686
GB49388	GB13686
GB49389	GB18710
GB49390	GB10766
GB49391	GB13203
GB49392	NULL
GB49393	NULL
GB49394	GB19265
GB49395	NULL
GB49396	GB19183
GB49397	GB18201
GB49398	GB15147
GB49399	GB16618
GB49400	GB12331
GB49401	GB17689
GB49402	GB13126
GB49403	NULL
GB49404	GB18561
GB49405	NULL
GB49406	GB15769
GB49407	GB17430
GB49408	NULL
GB49409	GB15351
GB49410	GB15633
GB49411	GB16646
GB49412	GB14903
GB49413	GB12145
GB49414	GB10206
GB49415	GB19431
GB49416	GB17649
GB49417	NULL
GB49418	GB20033
GB49419	GB13679
GB49420	GB13333
GB49421	GB16825
GB49422	NULL
GB49423	GB16267
GB49424	GB18741
GB49425	GB19161
GB49426	GB12180
GB49427	NULL
GB49428	GB14209
GB49429	GB16251
GB49430	NULL
GB49431	NULL
GB49432	GB14076
GB49433	GB14223
GB49434	NULL
GB49435	NULL
GB49436	NULL
GB49437	NULL
GB49438	NULL
GB49439	GB12349
GB49440	GB17927
GB49441	GB17927
GB49442	NULL
GB49443	NULL
GB49444	NULL
GB49445	NULL
GB49446	NULL
GB49447	NULL
GB49448	GB17864
GB49449	GB16905
GB49450	NULL
GB49451	NULL
GB49452	GB14115
GB49453	GB13403
GB49454	GB18891
GB49455	NULL
GB49456	GB18891
GB49457	GB16944
GB49458	GB19854
GB49459	GB11247
GB49460	NULL
GB49461	NULL
GB49462	NULL
GB49463	GB13806
GB49466	GB13935
GB49467	NULL
GB49468	NULL
GB49469	GB12642
GB49471	GB12870
GB49473	GB19966
GB49474	NULL
GB49475	GB19966
GB49476	GB13360
GB49477	NULL
GB49478	NULL
GB49479	GB15562
GB49480	GB19645
GB49481	GB19931
GB49482	NULL
GB49483	NULL
GB49484	GB12967
GB49485	GB18460
GB49486	GB16944
GB49487	GB18015
GB49488	GB10166
GB49489	NULL
GB49490	GB10819
GB49491	GB19084
GB49492	GB12242
GB49493	NULL
GB49494	NULL
GB49495	NULL
GB49496	GB18176
GB49497	GB19171
GB49498	GB13665
GB49499	NULL
GB49500	NULL
GB49501	NULL
GB49502	NULL
GB49503	NULL
GB49504	GB17068
GB49505	GB16187
GB49506	GB10245
GB49507	GB10635
GB49508	NULL
GB49509	NULL
GB49510	NULL
GB49511	GB12580
GB49512	NULL
GB49513	NULL
GB49514	GB14226
GB49515	GB13678
GB49516	GB13287
GB49517	GB16788
GB49518	GB16924
GB49519	GB18434
GB49520	GB14281
GB49521	GB10452
GB49522	GB16286
GB49523	NULL
GB49524	GB16152
GB49525	GB16152
GB49526	GB16152
GB49527	GB13570
GB49528	GB13729
GB49529	GB16362
GB49530	GB20076
GB49531	GB20076
GB49532	NULL
GB49533	GB20076
GB49534	GB18357
GB49535	GB17817
GB49536	GB14354
GB49537	GB10970
GB49538	GB17402
GB49539	GB12515
GB49540	GB18370
GB49541	GB15098
GB49542	NULL
GB49543	GB13140
GB49544	GB13999
GB49545	NULL
GB49546	NULL
GB49547	NULL
GB49548	GB12904
GB49549	GB11530
GB49551	GB15187
GB49552	GB11698
GB49553	GB10609
GB49554	GB13692
GB49555	NULL
GB49556	GB18195
GB49557	NULL
GB49558	NULL
GB49559	GB14156
GB49560	NULL
GB49561	NULL
GB49562	GB19701
GB49563	NULL
GB49564	GB12961
GB49565	NULL
GB49566	GB12961
GB49567	GB12961
GB49568	GB17657
GB49569	NULL
GB49570	GB17177
GB49571	GB16542
GB49572	NULL
GB49573	GB10632
GB49574	GB12559
GB49575	GB12559
GB49576	NULL
GB49577	NULL
GB49578	GB14456
GB49579	NULL
GB49580	NULL
GB49581	NULL
GB49582	GB17160
GB49583	GB17694
GB49584	GB12515
GB49585	NULL
GB49586	NULL
GB49587	NULL
GB49588	NULL
GB49589	GB18959
GB49590	GB12417
GB49592	NULL
GB49593	GB14858
GB49594	NULL
GB49596	GB15914
GB49597	GB13047
GB49598	GB16940
GB49599	NULL
GB49600	NULL
GB49601	GB12589
GB49602	NULL
GB49603	NULL
GB49604	NULL
GB49605	GB14879
GB49606	NULL
GB49607	GB16169
GB49608	GB19805
GB49609	GB17595
GB49610	NULL
GB49611	GB11536
GB49612	NULL
GB49613	GB14760
GB49614	GB15512
GB49616	GB15345
GB49621	GB17900
GB49622	GB10530
GB49623	NULL
GB49624	GB12734
GB49625	NULL
GB49626	NULL
GB49627	GB17647
GB49628	GB13427
GB49629	GB16138
GB49630	NULL
GB49632	GB11655
GB49633	NULL
GB49634	GB16289
GB49635	NULL
GB49637	GB15853
GB49638	GB13667
GB49639	GB14589
GB49640	GB15912
GB49641	GB16273
GB49642	GB11176
GB49643	GB17726
GB49644	GB18714
GB49645	NULL
GB49646	GB18453
GB49647	NULL
GB49648	NULL
GB49649	GB16650
GB49650	NULL
GB49651	GB12886
GB49652	GB13156
GB49653	GB19078
GB49654	GB13277
GB49655	GB14724
GB49656	GB15853
GB49657	NULL
GB49658	GB14955
GB49659	NULL
GB49660	GB14344
GB49661	GB14475
GB49662	NULL
GB49663	NULL
GB49664	GB15459
GB49665	NULL
GB49666	GB18405
GB49667	NULL
GB49668	NULL
GB49669	NULL
GB49670	NULL
GB49671	NULL
GB49672	NULL
GB49675	NULL
GB49676	NULL
GB49680	GB16654
GB49681	NULL
GB49682	NULL
GB49683	GB15082
GB49684	GB15082
GB49685	NULL
GB49686	GB13205
GB49687	NULL
GB49688	NULL
GB49689	GB10387
GB49690	NULL
GB49691	NULL
GB49692	GB17928
GB49693	NULL
GB49694	NULL
GB49695	NULL
GB49696	NULL
GB49698	NULL
GB49700	GB17947
GB49701	GB11593
GB49702	GB16890
GB49703	NULL
GB49704	GB12042
GB49705	GB10018
GB49706	GB11046
GB49708	GB10421
GB49709	GB16242
GB49710	NULL
GB49711	GB14581
GB49712	GB10906
GB49713	NULL
GB49714	GB11334
GB49715	GB11334
GB49716	NULL
GB49717	NULL
GB49721	NULL
GB49722	GB18240
GB49723	GB18240
GB49725	NULL
GB49726	GB10049
GB49727	GB19123
GB49728	GB13413
GB49729	NULL
GB49730	GB12299
GB49732	GB12299
GB49733	GB19123
GB49734	GB11311
GB49735	NULL
GB49736	NULL
GB49737	NULL
GB49738	GB10077
GB49739	NULL
GB49740	NULL
GB49741	NULL
GB49742	NULL
GB49743	NULL
GB49746	GB17953
GB49747	NULL
GB49748	NULL
GB49749	GB15748
GB49750	NULL
GB49751	GB15974
GB49752	NULL
GB49753	GB11152
GB49754	GB14733
GB49755	GB14032
GB49756	GB15299
GB49757	GB15299
GB49758	NULL
GB49759	GB10910
GB49762	GB18194
GB49763	NULL
GB49764	NULL
GB49765	GB17097
